                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.1452,                0.70341,                 1.3391,                 0.9686,                0.93723,                0.97039,                0.68315,                 1.0499,                0.46857,                 1.2781,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.146,                0.70831,                 1.3525,                0.98066,                0.93045,                0.96945,                0.68067,                 1.0606,                0.46041,                 1.2899,               0.007525,               0.007525,               0.007525
                     52,                 1.1565,                0.71458,                  1.352,                0.98586,                0.94164,                0.97739,                0.68525,                 1.0785,                0.45429,                 1.3027,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.1392,                 0.6995,                  1.345,                0.96917,                0.94531,                0.97682,                0.68667,                 1.0575,                0.45128,                 1.2869,               0.007426,               0.007426,               0.007426
                     54,                 1.1386,                0.70818,                 1.3486,                0.97887,                0.94463,                0.97688,                0.69648,                 1.0416,                0.44444,                 1.2708,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1448,                0.71905,                  1.344,                0.97482,                0.94107,                0.97385,                0.69489,                 1.0458,                0.45451,                 1.2773,               0.007327,               0.007327,               0.007327
                     56,                 1.1366,                0.69283,                 1.3483,                 0.9741,                0.93946,                0.97389,                0.69263,                 1.0384,                  0.442,                 1.2697,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1423,                0.69822,                 1.3474,                 0.9815,                0.93149,                 0.9737,                0.69398,                 1.0248,                0.47469,                 1.2634,               0.007228,               0.007228,               0.007228
                     58,                 1.1544,                0.70018,                 1.3565,                0.98024,                0.93809,                 0.9722,                0.68606,                 1.0374,                0.45474,                 1.2709,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1277,                0.68822,                 1.3312,                0.97071,                0.94733,                0.97586,                0.70338,                 1.0218,                0.44179,                 1.2618,               0.007129,               0.007129,               0.007129
                     60,                 1.1469,                  0.687,                 1.3399,                0.97551,                0.94137,                0.97306,                0.69967,                 1.0279,                0.44524,                 1.2593,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1395,                0.70079,                 1.3433,                0.97953,                0.94261,                 0.9777,                0.70785,                 1.0125,                 0.4321,                 1.2551,                0.00703,                0.00703,                0.00703
                     62,                 1.1245,                0.69034,                 1.3385,                0.98457,                0.93113,                0.97606,                0.70316,                 1.0128,                0.43404,                 1.2564,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1243,                0.67895,                 1.3407,                0.98249,                 0.9372,                0.97702,                 0.6963,                  1.042,                0.43933,                  1.273,               0.006931,               0.006931,               0.006931
                     64,                 1.1081,                0.67453,                 1.3276,                0.98377,                0.93991,                0.97795,                0.70164,                 1.0111,                0.43019,                 1.2575,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1266,                0.68498,                 1.3313,                0.98149,                0.94531,                 0.9769,                0.70718,                 1.0094,                0.42144,                 1.2568,               0.006832,               0.006832,               0.006832
                     66,                 1.1143,                0.68386,                  1.328,                0.97497,                0.94671,                0.97377,                0.67931,                 1.0721,                0.45086,                 1.2852,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.1204,                0.67907,                 1.3245,                0.97973,                0.94801,                0.98056,                0.70362,                 1.0297,                0.41988,                 1.2661,               0.006733,               0.006733,               0.006733
                     68,                 1.1168,                0.67336,                 1.3289,                0.98072,                0.94666,                0.97542,                0.70249,                 1.0229,                0.42879,                 1.2586,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1049,                0.66903,                 1.3186,                0.97465,                0.94868,                0.97886,                0.70248,                 1.0095,                0.42594,                 1.2569,               0.006634,               0.006634,               0.006634
                     70,                 1.0975,                0.66614,                 1.3221,                 0.9715,                0.94531,                0.97663,                0.70783,                0.99883,                0.42069,                 1.2536,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1259,                  0.684,                  1.331,                0.98371,                0.93774,                0.97567,                0.70329,                 1.0135,                0.42589,                 1.2589,               0.006535,               0.006535,               0.006535
                     72,                 1.1159,                0.67524,                 1.3271,                0.98107,                0.94499,                0.97848,                0.71251,                 1.0146,                0.41983,                 1.2517,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1162,                0.68772,                 1.3225,                0.98733,                0.94463,                0.97835,                0.69842,                 1.0167,                0.42607,                  1.254,               0.006436,               0.006436,               0.006436
                     74,                 1.1077,                0.66813,                  1.327,                0.98176,                0.94492,                0.97607,                0.70836,                 1.0065,                0.41481,                 1.2527,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1093,                0.66196,                 1.3164,                0.97977,                0.95409,                0.97727,                 0.6997,                 1.0127,                0.41551,                 1.2592,               0.006337,               0.006337,               0.006337
                     76,                 1.0961,                0.65655,                 1.3097,                0.98282,                0.94868,                0.97801,                0.70631,                 1.0077,                0.41342,                 1.2493,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1111,                0.66143,                 1.3256,                0.97693,                 0.9437,                0.97746,                0.71407,                0.99784,                0.41481,                  1.243,               0.006238,               0.006238,               0.006238
                     78,                 1.0972,                0.65901,                 1.3141,                0.98112,                0.94598,                0.97538,                0.71004,                0.99662,                0.41559,                 1.2404,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0826,                0.65544,                 1.3028,                0.98044,                0.94753,                0.97493,                0.70324,                 1.0155,                0.41585,                 1.2507,               0.006139,               0.006139,               0.006139
                     80,                 1.0976,                0.65317,                 1.3138,                0.98658,                0.94344,                0.97588,                0.71374,                0.98933,                  0.412,                 1.2381,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0866,                0.65437,                 1.3001,                0.98391,                0.94969,                0.97484,                0.70963,                 1.0017,                0.41293,                 1.2471,                0.00604,                0.00604,                0.00604
                     82,                    1.1,                0.65731,                 1.3121,                0.97223,                0.94936,                0.97793,                 0.7089,                0.99676,                0.40871,                 1.2385,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.0891,                0.65108,                  1.307,                0.97501,                0.94839,                0.97904,                0.70798,                 1.0019,                0.41242,                  1.247,               0.005941,               0.005941,               0.005941
